Connecting...
stream: Streamripper_rips
server name: MediaGateway 5.6.1-0390.el6
declared bitrate: 128
meta interval: 16000

[buffering - | ] MEN AT WORK - IT'S A MISTAKE
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [    1kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   17kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   32kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   48kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   64kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   79kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [   95kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  110kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  126kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  142kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  157kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  173kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  189kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  204kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  220kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  235kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  251kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  267kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  282kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  298kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  314kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  329kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  345kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  360kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  376kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  392kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  407kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  423kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  439kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  454kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  470kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  485kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  501kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  517kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  532kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  548kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  564kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  579kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  595kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  610kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  626kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  642kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  657kb]
[skipping...   ] MEN AT WORK - IT'S A MISTAKE [  673kb]
