Connecting...
stream: Streamripper_rips
server name: MediaGateway 5.6.1-0390.el6
declared bitrate: 128
meta interval: 16000

[buffering - | ] RAIMUNDOS - MULHER DE FASES
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [    1kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   17kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   32kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   48kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   64kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   79kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [   95kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  110kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  126kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  142kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  157kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  173kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  189kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  204kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  220kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  235kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  251kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  267kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  282kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  298kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  314kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  329kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  345kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  360kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  376kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  392kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  407kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  423kb]
[skipping...   ] RAIMUNDOS - MULHER DE FASES [  439kb]
